Address,vote_option,proposal_id
cosmos1rfpar0qx3umnhu0f6wjp4hvnr3x6u538qdmsep,1,23
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,23
cosmos1hgxxjug4cnk45ul69hy5dxdmvhaa0j06wg2r57,1,23
cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,1,23
cosmos13gaulvrjdw57vjd3fjp6cstn95pp47w5ajsepx,1,23
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,23
cosmos16lsdqdqcz7yywd82dtrt4nmf2u3peq4unvngd5,1,23
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,23
cosmos1ktecz4dr56j9tsfh7nwg8s9suvhfu70qpzrfcr,1,23
cosmos1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z37gh3h,1,23
cosmos1k9a0cs97vul8w2vwknlfmpez6prv8klv29tea7,3,23
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,1,23
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,2,23
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,1,23
cosmos1eh5mwu044gd5ntkkc2xgfg8247mgc56f8pycyz,1,23
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,3,23
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,37
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,1,36
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,1,37
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,36
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,37
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,1,37
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,37
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,37
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,36
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,37
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,37
cosmos10f9wkd6vdspac05djyfwfx0uxcqxapnqj8zdy5,1,35
cosmos10f9wkd6vdspac05djyfwfx0uxcqxapnqj8zdy5,1,36
cosmos10f9wkd6vdspac05djyfwfx0uxcqxapnqj8zdy5,1,37
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,37
cosmos103agss48504gkk3la5xcg5kxplaf6ttnec7yey,1,37
cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,1,37
cosmos1kgddca7qj96z0qcxr2c45z73cfl0c75pma99x2,1,37
cosmos1wnruk8rgzerqp6n82cq28dvzy5cc85p7png5g0,1,37
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,1,37
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,1,25
cosmos1wwspfe7whh3zu4ql5rvpg044lyk6cuu7v48cf2,1,25
cosmos1u6ddcsjueax884l3tfrs66497c7g86skk24gr0,1,25
cosmos14txyzcm9rs48xwqt3dkasmu0n4ldn6l7ud2t0u,1,25
cosmos1awk0u59cq3667pdxm7vchwwe7fg27caf5ega6t,1,25
cosmos1e4vntfrpzm3nugzakv8tupcgepwml4ze5wglat,1,25
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,25
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,25
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,25
cosmos16zgjnqxryhq2kftfuv8urp50x0xwt5dadd0z9v,1,25
cosmos1de7qx00pz2j6gn9k88ntxxylelkazfk3dnaamk,1,25
cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,1,25
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,25
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,25
cosmos1l6udzyaz8xaxv4hpagwauacm95jlcec3rtr7x0,1,25
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,1,25
cosmos1we6knm8qartmmh2r0qfpsz6pq0s7emv3um0vsa,1,25
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,26
cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,1,25
cosmos1et60e8cmehzcdhyluk0lnkzzye5jj7zj3a00cn,1,25
cosmos14txyzcm9rs48xwqt3dkasmu0n4ldn6l7ud2t0u,2,26
cosmos1ktecz4dr56j9tsfh7nwg8s9suvhfu70qpzrfcr,1,25
cosmos1ktecz4dr56j9tsfh7nwg8s9suvhfu70qpzrfcr,1,26
cosmos1fghgwhgtxtcshj4a9alp7u2qv6n2wffqj4jdl9,1,25
cosmos1fghgwhgtxtcshj4a9alp7u2qv6n2wffqj4jdl9,1,26
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,25
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,26
cosmos1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z37gh3h,1,25
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,26
cosmos1u6ddcsjueax884l3tfrs66497c7g86skk24gr0,1,26
cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,2,26
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,26
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,26
cosmos1jhmh85x5vgeq8uftm59wd888vh548m5u2egwvp,1,26
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,3,26
cosmos1de7qx00pz2j6gn9k88ntxxylelkazfk3dnaamk,1,26
cosmos1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z37gh3h,3,26
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,1,26
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,3,26
cosmos1nj4adtasteu0qwmr3r54vt3lav5z8s6n62pemd,1,27
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,1,27
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,27
cosmos1ec3p6a75mqwkv33zt543n6cnxqwun37rxqj2vl,1,27
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,1,27
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,27
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,27
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,27
cosmos1ym8pnk47yn0574455f2w3ldl0f9nxgdh98xgqn,1,27
cosmos1d7ufwp2rgfj7s7pfw2q7vm2lc9txmr8vj22h8s,1,27
cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,1,27
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,27
cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,1,27
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,27
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,27
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,27
cosmos1u6ddcsjueax884l3tfrs66497c7g86skk24gr0,1,27
cosmos1de7qx00pz2j6gn9k88ntxxylelkazfk3dnaamk,1,27
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,27
cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,1,27
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,27
cosmos10fqrw8vrmp6csljkjstedg0v3uxzeu24wvrksy,1,29
cosmos1dks35lpfx4j9lpjefk4eldy9qxvxvf2mqwa4wm,1,29
cosmos1ec3p6a75mqwkv33zt543n6cnxqwun37rxqj2vl,2,29
cosmos105l5r3rjtynn7lg362r2m9hkpfvmgmjt7nvq9h,4,29
cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,1,29
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,29
cosmos1k49luuv6a09542hxyz7e964zz46ka5jt8xchmc,4,29
cosmos1nj4adtasteu0qwmr3r54vt3lav5z8s6n62pemd,1,29
cosmos12dtspk5796vy7fqcjcwsnzxtlzredwehuh9cqg,4,29
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,1,29
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,29
cosmos1ktecz4dr56j9tsfh7nwg8s9suvhfu70qpzrfcr,1,29
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,29
cosmos1ym8pnk47yn0574455f2w3ldl0f9nxgdh98xgqn,1,29
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,3,29
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,29
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,29
cosmos16zgjnqxryhq2kftfuv8urp50x0xwt5dadd0z9v,2,29
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,29
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,2,29
cosmos1de7qx00pz2j6gn9k88ntxxylelkazfk3dnaamk,1,29
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,29
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,30
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,30
cosmos1u6ddcsjueax884l3tfrs66497c7g86skk24gr0,1,30
cosmos1dks35lpfx4j9lpjefk4eldy9qxvxvf2mqwa4wm,1,30
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,1,30
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,30
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,30
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,30
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,30
cosmos1zqv58alxz2cyvdqdq2nz393kjy56edu3wsswye,1,30
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,30
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,30
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,30
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,1,32
cosmos1nj4adtasteu0qwmr3r54vt3lav5z8s6n62pemd,1,31
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,1,31
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,31
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,32
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,31
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,31
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,32
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,31
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,32
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,31
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,31
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,32
cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,1,31
cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,1,32
cosmos1u6ddcsjueax884l3tfrs66497c7g86skk24gr0,1,31
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,32
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,31
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,32
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,1,31
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,31
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,32
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,1,31
cosmos103agss48504gkk3la5xcg5kxplaf6ttnec7yey,1,31
cosmos103agss48504gkk3la5xcg5kxplaf6ttnec7yey,1,32
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,31
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,32
cosmos1s7jnk7t6yqzensdgpvkvkag022udk8429exc87,1,31
cosmos1s7jnk7t6yqzensdgpvkvkag022udk8429exc87,1,32
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,34
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,34
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,1,34
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,34
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,34
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,34
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,1,34
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,34
cosmos10f9wkd6vdspac05djyfwfx0uxcqxapnqj8zdy5,1,34
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,35
cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,1,35
cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,1,34
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,34
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,35
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,34
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,1,35
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,35
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,35
cosmos1kgddca7qj96z0qcxr2c45z73cfl0c75pma99x2,1,35
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,35
cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,1,35
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,3,34
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,35
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,35
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,35
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,1,35
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,34
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,35
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,2,34
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,35
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,2,34
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,1,35
cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,1,35
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,36
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,1,36
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,36
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,1,36
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,3,35
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,36
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,3,35
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,36
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,3,35
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,4,35
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,36
cosmos16zgjnqxryhq2kftfuv8urp50x0xwt5dadd0z9v,2,36
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,3,35
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,1,36
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,36
cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,1,36
cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,1,36
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,3,35
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,36
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,36
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,4,35
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,1,36
cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,1,36
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,37
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,37
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,37
